species,year,month,day,decimalLatitude,decimalLongitude,locality,quality_grade,source,photo_url
Spatula clypeata,0,1,0,22.498766,114.0458275,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/336986640/medium.jpg
Aythya fuligula,0,1,0,22.498766,114.0458275,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/90504242/medium.jpg
Vanellus vanellus,0,1,0,22.4870645113,114.0361571575,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/96099602/medium.jpg
Acridotheres cristatellus,0,1,0,22.4922237666,114.044711701,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/454090450/medium.jpeg
Saxicola stejnegeri,0,1,0,22.4922634174,114.044711701,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/137327314/medium.jpg
Luscinia svecica,0,1,0,22.4953957972,114.0472866217,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/104155463/medium.jpg
Spodiopsar sericeus,0,1,0,22.4955345719,114.0474368254,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/2722579/medium.jpg
Anthus japonicus,0,1,0,22.4991426646,114.049754254,"Mai Po, Hong Kong",research,iNaturalist,https://static.inaturalist.org/photos/412206562/medium.jpeg
Ciconia boyciana,0,1,0,22.5265149642,114.1542984834,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/754972/medium.jpg
Anthus hodgsoni,0,1,0,22.4922816594,114.0446877709,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/131708891/medium.jpg
Culicicapa ceylonensis,2026,1,0,22.5384367228,114.0032934907,"Shennan Avenue No.8002 Shenzhen International Gardens Flower Read Extensively Park Inside, Shenzhen, Guangdong, CN",research,iNaturalist,https://static.inaturalist.org/photos/28594635/medium.jpg
Spatula clypeata,0,1,0,22.4983298509,114.0344978445,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/336986640/medium.jpg
Spatula clypeata,0,1,0,22.5011449006,114.0408493065,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/336986640/medium.jpg
Spatula querquedula,0,1,0,22.501904622,114.0416535613,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/188324274/medium.jpg
Anas zonorhyncha,0,1,0,22.5005898275,114.039862256,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/28097563/medium.jpg
Anas zonorhyncha,0,1,0,22.4983298509,114.0344978445,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/28097563/medium.jpg
Anas zonorhyncha,0,1,0,22.4984091491,114.03767358,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/28097563/medium.jpg
Anas zonorhyncha,0,1,0,22.4983298509,114.0344978445,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/28097563/medium.jpg
Saxicola stejnegeri,0,1,0,22.5053314295,114.1101794208,"Kwu Tung, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/137327314/medium.jpg
Halcyon smyrnensis,0,1,0,22.498766,114.0458275,"Mai Po, Hong Kong",research,iNaturalist,https://static.inaturalist.org/photos/294107276/medium.jpeg
Pandion haliaetus,2025,1,5,22.5071106138,113.9529030025,南山区深圳市中国518065,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/6903515/medium.jpg
Tachybaptus ruficollis,2026,1,10,22.5063196,114.1667869,香港軍地,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/194462197/medium.jpg
Chloris sinica,2026,1,28,22.6942216667,114.39857,"Shijing Residential District Tiantou Community Yuntian Road No.1001, Shenzhen, Guangdong, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/34996415/medium.jpg
Egretta garzetta,2024,1,18,22.6064542618,114.1951269323,"Shenzhen, Guangdong, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/205293169/medium.jpg
Chroicocephalus ridibundus,2025,1,17,22.518521231,113.9798836783,"Shenzhen, CN-GD, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/198109587/medium.jpg
Dicaeum ignipectus,2025,1,2,22.5426222532,114.0595597029,深圳,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/106218713/medium.jpg
Dicrurus hottentottus,2025,1,5,22.5426222532,114.0595597029,中国广东省深圳市福田区华强商业圈深圳市文档服务中心 邮政编码: 518000,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/89407514/medium.jpg
Amaurornis phoenicurus,0,1,0,22.5228087014,114.0005407697,中国广东省深圳市福田区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/348262284/medium.jpg
Egretta garzetta,0,1,0,22.5228087014,114.0005407697,中国广东省深圳市福田区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/205293169/medium.jpg
Lanius schach,0,1,0,22.5226305556,113.9544027778,"Nanshan, Shenzhen, Guangdong Province, China",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/349298427/medium.jpeg
Mareca penelope,0,1,0,22.5223222222,113.9503138889,"Nanshan, Shenzhen, Guangdong Province, China",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/111649507/medium.jpeg
Gracupica nigricollis,0,1,0,22.5160194444,113.9495166667,"Nanshan, Shenzhen, Guangdong Province, China",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/146525/medium.jpg
Acridotheres cristatellus,0,1,0,22.5159444444,113.9495166667,"Nanshan, Shenzhen, Guangdong Province, China",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/454090450/medium.jpeg
Ardeola bacchus,0,1,0,22.51415,113.9465888889,"Nanshan, Shenzhen, Guangdong Province, China",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/42885489/medium.jpg
Ardea alba,0,1,0,22.5144861111,113.9464944444,"Nanshan, Shenzhen, Guangdong Province, China",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/56653891/medium.jpg
Ardea cinerea,0,1,0,22.5146388889,113.9461472222,"Nanshan, Shenzhen, Guangdong Province, China",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/73516715/medium.jpg
Actitis hypoleucos,0,1,0,22.5146388889,113.9461055556,"Nanshan, Shenzhen, Guangdong Province, China",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/405355875/medium.jpg
Nycticorax nycticorax,0,1,0,22.5152583333,113.9433805556,"Nanshan, Shenzhen, Guangdong Province, China",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/49357930/medium.jpg
Egretta garzetta,0,1,0,22.5151194444,113.945925,"Shenzhen, Guangdong, China",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/205293169/medium.jpg
Copsychus saularis,0,1,0,22.5152055556,113.9459222222,"Shenzhen, Guangdong, China",research,iNaturalist,https://static.inaturalist.org/photos/62295683/medium.jpg
Pycnonotus jocosus,2026,1,12,22.5689583333,114.0900028333,"Jinhu Road and Side Road of North Ring Avenue Intersection East 120 Meters, Shenzhen, Guangdong, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/291201941/medium.jpg
Motacilla alba,2026,1,11,22.5134697154,113.9460640401,"Shenzhen, CN-GD, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/39786089/medium.jpg
Streptopelia decaocto,2026,1,11,22.4752915997,114.0407821997,"43 Section E 3rd Street, Fairview Park, 香港",research,iNaturalist,https://static.inaturalist.org/photos/61919353/medium.jpeg
Acridotheres cristatellus,2026,1,11,22.4752693,114.0404901997,"37 Section E 3rd Street, Fairview Park, 香港",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/454090450/medium.jpeg
Acridotheres tristis,2026,1,11,22.4752737778,114.0406840889,"43 Section E 3rd Street, Fairview Park, 香港",research,iNaturalist,https://static.inaturalist.org/photos/354943417/medium.jpg
Aythya fuligula,2026,1,11,22.4752754997,114.0406107,"37 Section E 3rd Street, Fairview Park, 香港",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/90504242/medium.jpg
Hirundo rustica,2026,1,11,22.4743020997,114.0395079,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/122469139/medium.jpg
Saxicola stejnegeri,2026,1,11,22.4742837,114.0394852,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/137327314/medium.jpg
Dicrurus macrocercus,2026,1,11,22.4742819,114.0394402,香港元朗區,research,iNaturalist,https://static.inaturalist.org/photos/251320608/medium.jpg
Tachybaptus ruficollis,2026,1,11,22.4742204,114.0379561,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/194462197/medium.jpg
Aythya fuligula,2026,1,11,22.4742843997,114.0394507,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/90504242/medium.jpg
Saxicola stejnegeri,2026,1,11,22.4741162,114.0377486,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/137327314/medium.jpg
Himantopus himantopus,2026,1,11,22.4741335,114.0377637997,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/20455456/medium.jpg
Saxicola stejnegeri,2026,1,11,22.4741335,114.0377637997,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/137327314/medium.jpg
Ardea alba,2026,1,11,22.4741436997,114.0361917,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/56653891/medium.jpg
Ardea coromanda,2026,1,11,22.4775288997,114.0343921,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/77613552/medium.jpg
Motacilla tschutschensis,2026,1,11,22.4775278,114.0343946997,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/30334980/medium.jpg
Milvus migrans,2026,1,11,22.4777644,114.0331106,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/158802479/medium.jpg
Passer montanus,2026,1,11,22.4788627,114.0329732997,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/165351252/medium.jpg
Motacilla tschutschensis,2026,1,11,22.4789639,114.0319700997,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/30334980/medium.jpg
Corvus torquatus,2026,1,11,22.4789743,114.0320054997,香港元朗區,research,iNaturalist,https://static.inaturalist.org/photos/172979004/medium.jpg
Motacilla tschutschensis,2026,1,11,22.4789747997,114.0320059997,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/30334980/medium.jpg
Thinornis dubius,2026,1,11,22.4789747997,114.0320059997,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/28895106/medium.jpg
Milvus migrans,2026,1,11,22.4794918,114.030741,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/158802479/medium.jpg
Tachybaptus ruficollis,2026,1,11,22.4794918,114.030741,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/194462197/medium.jpg
Milvus migrans,2026,1,11,22.477128,114.0315880997,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/158802479/medium.jpg
Motacilla alba,2026,1,11,22.4743679997,114.0391692997,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/39786089/medium.jpg
Saxicola stejnegeri,2026,1,11,22.4743281997,114.0398378,香港元朗區,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/137327314/medium.jpg
Dicrurus macrocercus,2026,1,11,22.4751921,114.0407404997,"16 Section B 7th Street, Fairview Park, 香港",research,iNaturalist,https://static.inaturalist.org/photos/251320608/medium.jpg
Phalacrocorax carbo,2026,1,11,22.4751921,114.0407404997,"16 Section B 7th Street, Fairview Park, 香港",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/141367445/medium.jpg
Chroicocephalus ridibundus,2026,1,11,22.4585821997,114.0336496,香港元朗F25M+JW,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/198109587/medium.jpg
Alcedo atthis,2026,1,11,22.4582981,114.0340297997,香港元朗F25M+JW,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/61266631/medium.jpg
Ardeola bacchus,2026,1,11,22.4582291,114.0341068,香港元朗F25M+JW,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/42885489/medium.jpg
Spilopelia chinensis,2026,1,11,22.4586694997,114.0337475,香港元朗F25M+JW,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/230618423/medium.jpg
Himantopus himantopus,2026,1,11,22.4585642,114.0336494997,香港元朗F25M+JW,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/20455456/medium.jpg
Recurvirostra avosetta,2026,1,11,22.4585642,114.0336494997,香港元朗F25M+JW,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/323031909/medium.jpg
Spatula clypeata,2026,1,11,22.4585642,114.0336494997,香港元朗F25M+JW,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/336986640/medium.jpg
Phalacrocorax carbo,2026,1,11,22.4585642,114.0336494997,香港元朗F25M+JW,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/141367445/medium.jpg
Ardea cinerea,2026,1,11,22.4585642,114.0336494997,香港元朗F25M+JW,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/73516715/medium.jpg
Platalea minor,0,1,0,22.4803396533,114.0941407659,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/365947667/medium.jpg
Recurvirostra avosetta,0,1,0,22.5123838968,113.9543993048,中国广东省深圳市南山区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/323031909/medium.jpg
Copsychus saularis,0,1,0,22.5063576807,113.9529508566,中国广东省深圳市南山区,research,iNaturalist,https://static.inaturalist.org/photos/62295683/medium.jpg
Actitis hypoleucos,0,1,0,22.5020944,113.9714894,深圳湾（后海湾）,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/405355875/medium.jpg
Spatula clypeata,0,1,0,22.5020944,113.9714894,深圳湾（后海湾）,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/336986640/medium.jpg
Ichthyaetus ichthyaetus,2026,1,8,22.4991379359,114.0275176277,"Deep Bay-Shenzhen Bay, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/102429592/medium.jpg
Lophospiza trivirgata,2026,1,14,22.5259419519,114.2587534016,"船灣郊野公園, 船灣, 新界, HK",research,iNaturalist,https://static.inaturalist.org/photos/150866367/medium.jpeg
Pluvialis fulva,0,1,0,22.4989500391,113.9538774729,中国广东省深圳市南山区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/262432635/medium.jpg
Mareca penelope,0,1,0,22.4993663439,113.9540061937,中国广东省深圳市南山区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/111649507/medium.jpeg
Centropus sinensis,0,1,0,22.5117454,114.0427088,中国广东省深圳市福田区广播电台路邮政编码:福田红树林生态公园 邮政编码: 518038,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/50398236/medium.jpg
Spatula clypeata,0,1,0,22.503014,113.949543,中国深圳市南山区 邮政编码: 518065,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/336986640/medium.jpg
Prinia flaviventris,0,1,0,22.5117454,114.0427088,中国广东省深圳市福田区广播电台路邮政编码:福田红树林生态公园 邮政编码: 518038,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/293220944/medium.jpg
Ardea alba,0,1,0,22.4993068702,113.9539096508,中国广东省深圳市南山区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/56653891/medium.jpg
Prinia inornata,0,1,0,22.5117454,114.0427088,中国广东省深圳市福田区广播电台路邮政编码:福田红树林生态公园 邮政编码: 518038,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/335903437/medium.jpeg
Himantopus himantopus,0,1,0,22.5071105,113.9529031,中国深圳市南山区深圳湾公园 邮政编码: 518065,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/20455456/medium.jpg
Lewinia striata,0,1,0,22.4906749961,113.9534963861,中国广东省深圳市南山区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/11787275/medium.jpeg
Platalea minor,2026,1,17,22.5233290721,114.1972376249,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/365947667/medium.jpg
Ardea cinerea,2026,1,17,22.4700358774,114.0071931246,"Tin Shui Wai, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/73516715/medium.jpg
Himantopus himantopus,2026,1,17,22.4700358774,114.0071931246,"Tin Shui Wai, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/20455456/medium.jpg
Phalacrocorax carbo,2026,1,17,22.4700358774,114.0071931246,"Tin Shui Wai, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/141367445/medium.jpg
Pterorhinus perspicillatus,2026,1,17,22.4700358774,114.0071931246,"Tin Shui Wai, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/555195/medium.jpg
Pandion haliaetus,0,1,0,22.5725877528,114.5044899395,"HGC3+J2H, Yin Tan Lu, Long Gang Qu, Shen Zhen Shi, Guang Dong Sheng, China, 518120",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/6903515/medium.jpg
Copsychus saularis,0,1,0,22.4982467507,114.0464255298,"Mai Po, Hong Kong",research,iNaturalist,https://static.inaturalist.org/photos/62295683/medium.jpg
Phoenicurus auroreus,0,1,0,22.4957127244,114.0481638967,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/116146365/medium.jpg
Phalacrocorax carbo,2026,1,11,22.4692824,114.0302503,香港南生圍,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/141367445/medium.jpg
Mareca penelope,2026,1,11,22.4692855,114.0302573,香港南生圍,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/111649507/medium.jpeg
Tringa glareola,2026,1,1,22.5075637913,114.1116586182,"Kwu Tung, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/323621890/medium.jpg
Lonchura punctulata,2026,1,1,22.5072320106,114.111523882,"Kwu Tung, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/161725682/medium.jpeg
Tringa glareola,2026,1,1,22.507536449,114.1115294593,"Kwu Tung, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/323621890/medium.jpg
Pycnonotus jocosus,2026,1,14,22.5131883333,114.0342166667,"Shenzhen, Guangdong, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/291201941/medium.jpg
Halcyon smyrnensis,2026,1,14,22.5132033333,114.0343195,"Shenzhen, Guangdong, CN",research,iNaturalist,https://static.inaturalist.org/photos/294107276/medium.jpeg
Pluvialis fulva,2026,1,14,22.5100466667,113.9418116667,"Dengliang Road, Shenzhen, Guangdong, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/262432635/medium.jpg
Pluvialis fulva,2026,1,14,22.5100466667,113.9418116667,"Dengliang Road, Shenzhen, Guangdong, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/262432635/medium.jpg
Pluvialis fulva,2026,1,14,22.5100466667,113.9418116667,"Dengliang Road, Shenzhen, Guangdong, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/262432635/medium.jpg
Lanius cristatus,0,1,0,22.5030976157,114.1218508483,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/472286950/medium.jpg
Pterorhinus perspicillatus,0,1,0,22.5030976157,114.1218508483,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/555195/medium.jpg
Psittacula eupatria,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/61055458/medium.jpeg
Ardeola bacchus,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/42885489/medium.jpg
Gallinula chloropus,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/171773229/medium.jpg
Saxicola stejnegeri,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/137327314/medium.jpg
Gallinago gallinago,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/323397/medium.jpg
Himantopus himantopus,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/20455456/medium.jpg
Tachyspiza virgata,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/66481205/medium.jpg
Urocissa erythroryncha,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/64874232/medium.jpg
Urocissa erythroryncha,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/64874232/medium.jpg
Emberiza pusilla,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/1939351/medium.jpg
Psittacula eupatria,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/61055458/medium.jpeg
Motacilla tschutschensis,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/30334980/medium.jpg
Rallus indicus,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://static.inaturalist.org/photos/237848461/medium.jpg
Tringa ochropus,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/262067607/medium.jpg
Tringa glareola,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/323621890/medium.jpg
Rallus indicus,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://static.inaturalist.org/photos/237848461/medium.jpg
Falco tinnunculus,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/598044895/medium.jpg
Emberiza pusilla,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/1939351/medium.jpg
Spatula querquedula,0,1,0,22.5079817756,114.1133851375,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/188324274/medium.jpg
